run_id,step,val_loss,train_time_ms,attn_gate,learning_rate
543b6e66-ffbc-47a2-ad78-c669dc3efbd8,375,4.2802,152888,elementwise,0.00432
543b6e66-ffbc-47a2-ad78-c669dc3efbd8,500,4.0684,205396,elementwise,0.00432
543b6e66-ffbc-47a2-ad78-c669dc3efbd8,625,3.9595,257862,elementwise,0.00432
543b6e66-ffbc-47a2-ad78-c669dc3efbd8,750,3.9013,310096,elementwise,0.00432
543b6e66-ffbc-47a2-ad78-c669dc3efbd8,800,3.8928,331626,elementwise,0.00432
690ff574-ff80-4847-9c92-74defcc8d80c,0,16.0092,252,elementwise,0.00468
690ff574-ff80-4847-9c92-74defcc8d80c,125,5.4952,47968,elementwise,0.00468
690ff574-ff80-4847-9c92-74defcc8d80c,250,4.6545,100500,elementwise,0.00468
690ff574-ff80-4847-9c92-74defcc8d80c,375,4.2582,152779,elementwise,0.00468
690ff574-ff80-4847-9c92-74defcc8d80c,500,4.051,205834,elementwise,0.00468
690ff574-ff80-4847-9c92-74defcc8d80c,625,3.9437,258265,elementwise,0.00468
690ff574-ff80-4847-9c92-74defcc8d80c,750,3.885,310465,elementwise,0.00468
690ff574-ff80-4847-9c92-74defcc8d80c,800,3.8762,332611,elementwise,0.00468
d4f28674-8b7e-4eec-b50f-a6f26d3de1f5,0,16.0297,226,none,0.00432
d4f28674-8b7e-4eec-b50f-a6f26d3de1f5,125,5.4868,45298,none,0.00432
d4f28674-8b7e-4eec-b50f-a6f26d3de1f5,250,4.6468,94967,none,0.00432
d4f28674-8b7e-4eec-b50f-a6f26d3de1f5,375,4.2268,144376,none,0.00432
d4f28674-8b7e-4eec-b50f-a6f26d3de1f5,500,4.044,193938,none,0.00432
d4f28674-8b7e-4eec-b50f-a6f26d3de1f5,625,3.9431,243513,none,0.00432
d4f28674-8b7e-4eec-b50f-a6f26d3de1f5,750,3.8871,292828,none,0.00432
d4f28674-8b7e-4eec-b50f-a6f26d3de1f5,800,3.8788,313280,none,0.00432
d993a5e9-4f6f-4d37-9cf9-69cad3c7c6ee,0,16.0092,259,elementwise,0.0036
d993a5e9-4f6f-4d37-9cf9-69cad3c7c6ee,125,5.5805,48000,elementwise,0.0036
d993a5e9-4f6f-4d37-9cf9-69cad3c7c6ee,250,4.7281,101300,elementwise,0.0036
